#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m]
1403637133040881408,4.7194163289146083,-1.8286012533526541,0.68084965838877798
1403637133090881280,4.7194649541480498,-1.8285458375386461,0.68100611873869898
1403637133140881408,4.7194875558881533,-1.8285305424391149,0.68110221897148004
1403637133190881280,4.7185240689615213,-1.828311694829218,0.68132188174180397
1403637133240881152,4.7185536673571784,-1.82829829421071,0.68146256087193502
1403637133289881344,4.7206462941217699,-1.8287157134015291,0.68193330440753397
1403637133388881152,4.7220556633930721,-1.8288976119985649,0.68420777966466995
1403637133440881152,4.7221661978273852,-1.8293194980339109,0.68579506371287802
1403637133489881344,4.7226619184975052,-1.829315251385268,0.68866578542601598
1403637133541881344,4.7234815737790221,-1.829492349183365,0.69385321450502702
1403637133592881152,4.7234502155436262,-1.8291833020883079,0.69934891788943598
1403637133687881216,4.7241043597228609,-1.8281820267652691,0.70736598242230497
1403637133740881152,4.7231636726783339,-1.8262529886073591,0.71025299563710897
1403637133792881152,4.7232190596650163,-1.8248026548361,0.71372844720136297
1403637133841881344,4.7245823492829873,-1.823397920554868,0.71867574039803395
1403637133887881216,4.7254193689758566,-1.8216377416881491,0.72622597518071996
1403637133988881408,4.729124007247977,-1.8199269098975379,0.75187890091463605
1403637134040881408,4.7321833152611568,-1.820006174791075,0.77167896480471199
1403637134188881408,4.7310010772199904,-1.818806331113952,0.85735182567513302
1403637134289881344,4.7281479889870468,-1.820387555383191,0.92367910151583899
1403637134339881216,4.7280568204538787,-1.822265459596192,0.95632639149253396
1403637134390881280,4.7275100922349518,-1.8246416097980671,0.98861298402628595
1403637134440881152,4.7285249117402026,-1.827164257921108,1.0177938499827379
1403637134489881344,4.729440412461293,-1.8284717708029941,1.042943436138823
1403637134540881408,4.7319786301332156,-1.8300200984606261,1.0647939174891381
1403637134590881280,4.7331304113146082,-1.8305608883764459,1.0798536748146721
1403637134640881408,4.7338761102573912,-1.8303574933724309,1.0874373016036341
1403637135289881344,4.7191359574679383,-1.8042884263399239,0.76728848925507198
1403637135340881408,4.7203012971260554,-1.8028040002720651,0.75727170705681701
1403637135390881280,4.7213917738694571,-1.80189021596044,0.75511162147701705
1403637136090881280,4.723119709270982,-1.8027041001471309,1.155889041021553
1403637136639881472,4.6984613771901227,-1.7950750115633469,0.82226765699326299
1403637136739881216,4.7003107653707943,-1.79418885563456,0.78862221897533702
